bioproject,status,title,submitter,doi,citation,reviewed_by,reviewed_on,notes
PRJEB37208,unreviewed,This dataset includes a total of 20 whole genome sequencing data from goats (AGIN-USDA). It has been uploaded for the VarGoats Consortium (http://www.goatgenome.org/vargoats.html). To use this dataset please contact: Emily.Clark@roslin.ed.ac.uk or gwenola.tosser@inrae.fr or Ben.Rosen@ARS.USDA.GOV or vargoats@inrae.fr,THE ROSLIN INSTITUTE,10.1101/2025.09.30.679575,Mármol-Sánchez E et al. (2025) The variability of goat microRNA genes is strongly shaped by functional constraints,,,2 candidates; top one shown
PRJEB39374,unreviewed,Sequencing of Swiss Large White pigs to assess genomic variation,ETH ZURICH,10.1186/s12711-026-01040-1,Gorssen W et al. (2026) Genetic analysis of iris pigmentation in Swiss pig breeds identifies a missense KITLG variant as a potential causal factor for pale and heterochromatic irises,,,10 candidates; top one shown
PRJEB39599,unreviewed,Whole-genome sequencing of wild nine-spined sticklebacks,UNIVERSITY OF HELSINKI,10.32607/actanaturae.27528,Nedoluzhko AV et al. (2025) Intergeneric Introgression Enhances the Adaptive Potential of Nine-Spined Stickleback (Pungitius pungitius),,,6 candidates; top one shown
PRJEB39736,unreviewed,Nine-spined stickleback linkage map (parents),UNIVERSITY OF HELSINKI,,,,,no Europe PMC full-text match
PRJEB40857,unreviewed,Whole genome sequencing of several lesser white-fronted goose (Anser erythropus) from diverse locations.,NATURHISTORISKA RIKSMUSEET,10.1038/s41598-020-75315-y,Díez-Del-Molino D et al. (2020) Population genomics reveals lack of greater white-fronted introgression into the Swedish lesser white-fronted goose,,,
PRJEB42236,unreviewed,"Trachurus trachurus (Atlantic horse mackerel), genomic and transcriptomic data",WELLCOME SANGER INSTITUTE,,,,,no Europe PMC full-text match
PRJEB44823,unreviewed,"Caprimulgus europaeus (Eurasian nightjar), genomic and transcriptomic data",WELLCOME SANGER INSTITUTE,,,,,no Europe PMC full-text match
PRJEB45133,unreviewed,"Thunnus albacares (yellowfin tuna), genomic and transcriptomic data",WELLCOME SANGER INSTITUTE,,,,,no Europe PMC full-text match
PRJEB47792,unreviewed,whole-genome re-sequencing of the Alpine whitefish radiation,EAWAG,10.1038/s41467-022-32181-8,De-Kayne R et al. (2022) Genomic architecture of adaptive radiation and hybridization in Alpine whitefish,,,
PRJEB48145,unreviewed,WGS_from_laboratory_crosses_of_cichlid_fish,Wellcome Sanger Institute,,,,,no Europe PMC full-text match
PRJEB48726,unreviewed,Gene flow in coastal fishes in Norway,center for coastal research,10.1111/mec.16415,Knutsen H et al. (2022) Combining population genomics with demographic analyses highlights habitat patchiness and larval dispersal as determinants of connectivity in coastal fish species,,,
PRJEB48921,unreviewed,WGS_from_Tanzania_cichlid_fish,Wellcome Sanger Institute,,,,,no Europe PMC full-text match
PRJEB49185,unreviewed,Evolution_of_meiotic_recombination_and_genomic_divergence_in_percomorph_fishes,Wellcome Sanger Institute,10.1093/genetics/iyaf150,Malinsky M et al. (2026) Hi-reComb: constructing recombination maps from bulk gamete Hi-C sequencing,,,2 candidates; top one shown
PRJEB50463,unreviewed,"This dataset includes a total of 60 whole genome sequencing data from goats generated at Genoscope (Evry, France). It has been uploaded for the VarGoats Consortium (http://www.goatgenome.org/vargoats.html). To use this dataset please contact: gwenola.tosser@inrae.fr or vargoats@inrae.fr",THE ROSLIN INSTITUTE,,,,,no Europe PMC full-text match
PRJEB51909,unreviewed,Large White diversity and evolution,INRAE,10.1186/s12711-023-00789-z,Boitard S et al. (2023) Whole-genome sequencing of cryopreserved resources from French Large White pigs at two distinct sampling times reveals strong signatures of convergent and divergent selection between the dam and sire lines,,,
PRJEB56589,unreviewed,Whole-Genome Bisulfite Sequencing analysis of milk samples from Assaf ewes,departamento de produccion animal,10.1186/s12864-025-11520-1,Fonseca PAS et al. (2025) Integration of epigenomic and genomic data to predict residual feed intake and the feed conversion ratio in dairy sheep via machine learning algorithms,,,2 candidates; top one shown
PRJEB57283,unreviewed,"Haliaeetus albicilla (white-tailed eagle), genomic and transcriptomic data",WELLCOME SANGER INSTITUTE,,,,,no Europe PMC full-text match
PRJEB58761,unreviewed,Tetrao_urogallus_Popgen,Wellcome Sanger Institute,,,,,no Europe PMC full-text match
PRJEB59012,unreviewed,Anadromy in Esox lucius in the southern Baltic Sea,university of oldenburg,,,,,no Europe PMC full-text match
PRJEB59576,unreviewed,"WGS data for primates sequenced in Kuderna et al., 2023",IBE(CSIC-UNIVERSITAT POMPEU FABRA),10.1038/s41597-025-06124-z,Han S et al. (2025) A curated dataset of great ape genome diversity,,,2 candidates; top one shown
PRJEB60682,unreviewed,De novo mutation rates in sticklebacks,zchaowei,10.1093/molbev/msad192,Zhang C et al. (2023) De Novo Mutation Rates in Sticklebacks,,,
PRJEB6383,unreviewed,"The genome sequence of the North island brown kiwi, Apteryx mantelli",Max Planck Institute for Evolutionary Anthropology,10.1080/23802359.2016.1186511,Liu J et al. (2016) The complete mitochondrial genome of North Island brown kiwi (<i>Apteryx mantelli</i>),,,3 candidates; top one shown
PRJEB6999,unreviewed,Development of broodstock management and husbandry tools for improved hatchery performance of ballan wrasse (Labrus bergylta).,"Institute of Aquaculture, University of Stirling, Stirling, UK",,,,,no Europe PMC full-text match
PRJEB71922,unreviewed,Cross_species_Colonies_WGS_LCMB,Wellcome Sanger Institute,,,,,no Europe PMC full-text match
PRJEB80530,unreviewed,Persistent genomic erosion in whooping cranes despite demographic recovery,INSTITUT DE BIOLOGIA EVOLUTIVA,10.1111/mec.70088,Fontsere C et al. (2025) Persistent Genomic Erosion in Whooping Cranes Despite Demographic Recovery,,,2 candidates; top one shown
PRJEB86104,unreviewed,"Panthera onca (Jaguar), genomic data.",Centro Nacional de Análisis Genómico,,,,,no Europe PMC full-text match
PRJEB86514,unreviewed,GENOMIC DIVERSITY AND SELECTION SIGNATURE OF INDIAN NATIVE GOAT BREEDS,Indian Biological Data Centre,,,,,no Europe PMC full-text match
PRJEB86998,unreviewed,Water vole SNP discovery,University of Liverpool,,,,,no Europe PMC full-text match
PRJEB88594,unreviewed,Whole genome sequence of Platichthys flesus,University of Helsinki,,,,,no Europe PMC full-text match
PRJEB94947,unreviewed,European water vole Arvicola amphibius conservation genetics,"Centre for Genomic Research, Institute of Integrative Biology, University of Liverpool, UK",,,,,no Europe PMC full-text match
PRJNA1008089,unreviewed,"Grus americana (whooping crane) genome, bGruAme1, sequence data.",G10K,,,,,no Europe PMC full-text match
PRJNA1008106,unreviewed,"Hirundo rustica (Barn swallow) genome, bHirRus1, sequence data.",G10K,,,,,no Europe PMC full-text match
PRJNA1008120,unreviewed,"Esox lucius (northern pike) genome, fEsoLuc1, sequence data.",G10K,,,,,no Europe PMC full-text match
PRJNA1008127,unreviewed,"Catharus ustulatus (Swainson's thrush) genome, bCatUst1, sequence data.",G10K,,,,,no Europe PMC full-text match
PRJNA1008551,unreviewed,"Scatophagus argus (Spotted scat) genome, fScaArg1, sequence data.",G10K,,,,,no Europe PMC full-text match
PRJNA1008595,unreviewed,"Taeniopygia guttata (zebra finch) genome sequencing, bTaeGut2, sequence data",G10K,,,,,no Europe PMC full-text match
PRJNA1008625,unreviewed,"Phocoena sinus (Vaquita) genome, mPhoSin1, sequence data",G10K,,,,,no Europe PMC full-text match
PRJNA1008634,unreviewed,"Lemur catta (Ring-tailed lemur) genome, mLemCat1, sequence data",G10K,,,,,no Europe PMC full-text match
PRJNA1008644,unreviewed,"Mustela erminea (Stoat) genome, mMusErm1, sequence data",G10K,,,,,no Europe PMC full-text match
PRJNA1008646,unreviewed,"Balaenoptera musculus (blue whale) genome, mBalMus1, sequence data",G10K,,,,,no Europe PMC full-text match
PRJNA1008668,unreviewed,"Pogoniulus pusillus (red-fronted tinkerbird) genome, bPogPus1, sequence data",G10K,,,,,no Europe PMC full-text match
PRJNA1012887,unreviewed,Micropterus salmoides breed:JDF Genome sequencing and assembly,BGI,,,,,no Europe PMC full-text match
PRJNA1018098,unreviewed,Highly amplified KRTAP hair genes have been repurposed as 'baleen genes' in filter-feeding mysticete whales,University of California Riverside,,,,,no Europe PMC full-text match
PRJNA1023385,unreviewed,Short- and Long-read data from Sprattus sprattus populations,Uppsala University,10.1093/gbe/evae133,Pettersson ME et al. (2024) Limited Parallelism in Genetic Adaptation to Brackish Water Bodies in European Sprat and Atlantic Herring,,,2 candidates; top one shown
PRJNA1024534,unreviewed,Swainson's thrush hybrid zone sequencing,Texas A&M University,10.1038/s41467-025-63188-6,Justen HC et al. (2025) The genetics of extrinsic postzygotic selection in a migratory divide between subspecies of the Swainson's thrush,,,3 candidates; top one shown
PRJNA1031634,unreviewed,Neofelis nebulosa Raw sequence reads,George Mason University,,,,,no Europe PMC full-text match
PRJNA1031993,unreviewed,Karyotypic stasis and swarming influenced the evolution of viral tolerance in a species-rich bat radiation.,Texas A&M University,,,,,no Europe PMC full-text match
PRJNA1043102,unreviewed,Conservation status of whitefish populations (Coregonus spp.) in Denmark,Aarhus University,10.1111/mec.17367,Tengstedt ANB et al. (2025) Genomic insights on conservation priorities for North Sea houting and European lake whitefish (Coregonus spp.),,,
PRJNA1049866,unreviewed,Macrotis lagotis Genome sequencing and Population Genomics,The University of Sydney,10.3389/fcell.2025.1562403,Marín-Gual L et al. (2025) Meiotic dynamics in a unique Australian marsupial provide new insights into the evolution of neo-sex chromosomes in the early stages of differentiation,,,2 candidates; top one shown
PRJNA1051171,unreviewed,Notamacropus eugenii Raw sequence reads,UNSW Sydney,10.1073/pnas.2412185121,Milton AM et al. (2024) Imprinted X chromosome inactivation in marsupials: The paternal X arrives at the egg with a silent DNA methylation profile,,,
PRJNA1051501,unreviewed,Myotis Phylogenomics,University of Helsinki,10.1186/s12864-024-10722-3,Twort VG et al. (2024) Signals of positive selection in genomes of palearctic Myotis-bats coexisting with a fungal pathogen,,,
PRJNA1054049,unreviewed,Whole genome resequencing of common myna (Acridotheres tristis),University of Auckland,10.1111/mec.70211,Atsawawaranunt K et al. (2026) Missing or Mis-Telling the Story? Trade-Offs for Restriction-Site Associated Compared to Whole Genome Sequencing,,,2 candidates; top one shown
PRJNA1061303,unreviewed,Transgenic UBC-GFP Zebra finch Genome,Boston University,,,,,no Europe PMC full-text match
PRJNA1062089,unreviewed,A goat graph-based pangenome reveals structural variations involved in domestication and adaptation,Northwest A&F University,10.1186/s12864-025-12055-1,Guo J et al. (2025) Whole-genome sequencing reveals complex structural variations at a major locus linked to pigmented spot sizes in Tianfu goats,,,2 candidates; top one shown
PRJNA1062151,unreviewed,Fine-scale Recombination Variation Stickleback Nuclear Families,Friedrich Miescher Laboratory of the Max Planck Society,10.1038/s41559-024-02434-4,Venu V et al. (2024) Fine-scale contemporary recombination variation and its fitness consequences in adaptively diverging stickleback fish,,,
PRJNA1063878,unreviewed,"Whole-genome sequencing revealed genetic diversity, population structure ad admixture of Ethiopian indigenous goats",Assosa University,10.3389/fgene.2024.1353026,Sheriff O et al. (2024) Whole-genome resequencing reveals genomic variation and dynamics in Ethiopian indigenous goats,,,
PRJNA1077730,unreviewed,Whole-genome Resequencing of Goats,Northwest A&F University,10.1186/s12864-025-11576-z,Zhao J et al. (2025) Design and verification of a 25 K multiple-SNP liquid-capture chip by target sequencing for dairy goat,,,2 candidates; top one shown
PRJNA1077913,unreviewed,The genetic basis of evolutionary divergence in oceanic island birds,National Museum of Natural Sciences,10.1186/s12862-024-02320-4,Recuerda M et al. (2024) Repeated evolution on oceanic islands: comparative genomics reveals species-specific processes in birds,,,
PRJNA1083753,unreviewed,Trio sequencing of captive zebra finches,Albert Ludwig University Freiburg,,,,,no Europe PMC full-text match
PRJNA1086802,unreviewed,Largemouth Black Bass Raw sequence reads,Hangzhou Academy of Agricultural Sciences,,,,,no Europe PMC full-text match
PRJNA1089087,unreviewed,The genetics of acromelanism in domestic canaries,BIOPOLIS/CIBIO-InBIO,,,,,no Europe PMC full-text match
PRJNA1089471,unreviewed,Population genomics of the critically endangered Aeolian wall lizard (Podarcis raffonei),University of Ferrara,10.1038/s41437-026-00835-8,Gabrielli M et al. (2026) The relationship between genomic variation and genetic load: insights from small island populations,,,
PRJNA1092733,unreviewed,Mutation rate of the Pantherinae,Stanford University,10.1093/gbe/evaf060,Armstrong EE et al. (2025) Parameterizing Pantherinae: De Novo Mutation Rate Estimates from Panthera and Neofelis Pedigrees,,,
PRJNA1101522,unreviewed,Fitness consequences of structural variation inferred from a House Finch pangenome,Harvard University,10.1073/pnas.2409943121,Fang B et al. (2024) Fitness consequences of structural variation inferred from a House Finch pangenome,,,
PRJNA1105330,unreviewed,Immunome and genome-wide diversity of the jaguar.,university of veterinary medicine vienna,10.1186/s13059-025-03868-0,Meißner R et al. (2025) Unraveling genome- and immunome-wide genetic diversity in modern and historical Jaguars,,,2 candidates; top one shown
PRJNA1130443,unreviewed,Comparative phylogeography of North American migratory birds,University of Michigan,10.1111/eva.70163,Kimmitt AA et al. (2025) Comparative Whole Genome Phylogeography Reveals Genetic Distinctiveness of Appalachian Populations of Boreal Songbirds,,,2 candidates; top one shown
PRJNA1140157,unreviewed,"Chlamydotis macqueenii (MacQueen's bustard) genome, bChlMac2, sequence data",Vertebrate Genomes Project,,,,,no Europe PMC full-text match
PRJNA1140158,unreviewed,"Chlamydotis macqueenii (MacQueen's bustard) genome, bChlMac3, sequence data",Vertebrate Genomes Project,,,,,no Europe PMC full-text match
PRJNA1141615,unreviewed,Whole Genome Resequencing Reveals signatures of Adaptive Evolution in Acanthopagrus latus and Rhabdosargus sarba,"Third Institute of Oceanography, Ministry of Natural Resources",10.3390/ani15050745,Li Y et al. (2025) Genomic Insights into the Population Genetics and Adaptive Evolution of Yellow Seabream (&lt;i&gt;Acanthopagrus latus&lt;/i&gt;) with Whole-Genome Resequencing,,,2 candidates; top one shown
PRJNA1146985,unreviewed,Sequencing and genome assembly of multiple Mustela species,Institute of Molecular and Cellular Biology SB RAS,10.1093/gbe/evag014,"Totikov AA et al. (2026) Comparative Genomics and Phylogenomics of the Mustelinae Lineage (Mustelidae, Carnivora)",,,
PRJNA1147173,unreviewed,Sus scrofa scrofa breed:Huai pig Genome sequencing,China Agricultural University,,,,,no Europe PMC full-text match
PRJNA1149977,unreviewed,Comprehensive whole-genome resequencing reveals genetic diversity and adaptive evolution in Acanthopagrus latus,"Third Institute of Oceanography, Ministry of Natural Resources",10.3390/ani15050745,Li Y et al. (2025) Genomic Insights into the Population Genetics and Adaptive Evolution of Yellow Seabream (&lt;i&gt;Acanthopagrus latus&lt;/i&gt;) with Whole-Genome Resequencing,,,
PRJNA1152924,unreviewed,Conservation of fundamental mutation and recombination parameters between mammals and zebra finch,Columbia University,10.1371/journal.pgen.1011661,Prentout D et al. (2025) Germline mutation rates and fine-scale recombination parameters in zebra finch,,,
PRJNA1159114,unreviewed,Whole genome resequencing data from sheep,Northwest A&F University,,,,,no Europe PMC full-text match
PRJNA1162521,unreviewed,Ancient demographic reconstruction and spat temporal population genomics of European nightjar,University of Sheffield,10.1002/ece3.70460,Day G et al. (2024) Revealing the Demographic History of the European Nightjar (<i>Caprimulgus europaeus</i>),,,2 candidates; top one shown
PRJNA1164432,unreviewed,Fur Trade Project,University of Oklahoma,,,,,no Europe PMC full-text match
PRJNA1165315,unreviewed,"Population genetics and invasion history of the European Starling across Aotearoa, New Zealand: whole genome resequencing of New Zealand starlings",University of Auckland,,,,,no Europe PMC full-text match
PRJNA1166076,unreviewed,Comparison of whole genome sequencing performance from fish skin swabs and fin clips,Leibniz Institute for the analysis of biodiversity change,10.1186/s13104-024-07075-1,Macphee A et al. (2025) Comparison of whole genome sequencing performance from fish swabs and fin clips,,,
PRJNA1177205,unreviewed,Ovis aries Raw sequence reads,Xinjiang Agricultural University,10.1038/s41597-025-05448-0,Fang C et al. (2025) Whole genome sequences of 297 Duolang sheep for litter size,,,2 candidates; top one shown
PRJNA1186817,unreviewed,whole genome sequencing,Gansu agricultural university,,,,,no Europe PMC full-text match
PRJNA1197174,unreviewed,Labrus bergylta Raw sequence reads,Havforskingsinstituttet,10.1111/mec.17732,Jansson E et al. (2025) Genomic Landscape of Divergence in Ballan Wrasse (Labrus bergylta),,,
PRJNA1218516,unreviewed,ALLOCHRONY IN ATLANTIC LUMPFISH: GENOMIC AND OTOLITH SHAPE DIVERGENCE BETWEEN SPRING AND AUTUMN SPAWNERS,UiT The Arctic University of Norway,10.1002/ece3.70946,Horaud M et al. (2025) Allochrony in Atlantic Lumpfish: Genomic and Otolith Shape Divergence Between Spring and Autumn Spawners,,,
PRJNA1218656,unreviewed,"Population genomic study of the threespine stickleback hybrid zone in the Misty Lake watershed (Vancouver Island, Canada)",University of Basel,10.1101/2025.11.17.688987,Baebler O et al. (2025) Hybridization but minimal introgression: ecologically-based divergent selection maintains a steep hybrid zone in parapatric stickleback fish,,,2 candidates; top one shown
PRJNA1219299,unreviewed,"Grus americana (whooping crane) genome, bGruAme2, sequence data",Vertebrate Genomes Project,,,,,no Europe PMC full-text match
PRJNA1219300,unreviewed,"Grus americana (whooping crane) genome, bGruAme3, sequence data",Vertebrate Genomes Project,,,,,no Europe PMC full-text match
PRJNA1225496,unreviewed,Homozygous and Heterozygous Hypomelanistic leopard gecko blood DNA-Seq,University of Geneva,10.1093/genetics/iyaf236,Beaudier P et al. (2026) Candidate genes underlying hypomelanistic morphs in squamate reptiles,,,
PRJNA1235426,unreviewed,Notamacropus eugenii haplotype 1 genome sequencing,University of Connecticut,10.1038/s41467-026-74695-5,Marín-Gual L et al. (2026) Divergent 3D genome architecture of male germ cells across vertebrates,,,
PRJNA1241418,unreviewed,Population sequencing of multiple species of the genus Rhamphochromis Raw sequence reads,"Institute of Hydrobiology, Chinese Academy of Sciences",10.1101/gr.281193.125,Yang L et al. (2026) Dynamic body size evolution during speciation of predatory cichlid fishes in the Lake Malawi superradiation,,,
PRJNA1241433,unreviewed,"Taeniopygia guttata (zebra finch) genome, bTaeGut7, sequence data",Vertebrate Genomes Project,10.1016/j.xgen.2026.101323,Antipov D et al. (2026) Automatic generation of model sequences for complex regions in assembly graphs with TTT,,,
PRJNA1241434,unreviewed,"Taeniopygia guttata (zebra finch) genome, bTaeGut8, sequence data",Vertebrate Genomes Project,,,,,no Europe PMC full-text match
PRJNA1241435,unreviewed,"Taeniopygia guttata (zebra finch) genome, bTaeGut9, sequence data",Vertebrate Genomes Project,,,,,no Europe PMC full-text match
PRJNA1241442,unreviewed,Introgression across narrow contact zones shapes the genomic landscape of phylogenetic variation in an African bird clade,University of Cyprus,10.1093/sysbio/syaf033,Rancilhac L et al. (2025) Introgression across Narrow Contact Zones Shapes the Genomic Landscape of Phylogenetic Variation in an African Bird Clade,,,
PRJNA1250171,unreviewed,Tianhua mutton sheep genome,Lanzhou University,,,,,no Europe PMC full-text match
PRJNA1264480,unreviewed,Islands promote diversification of the silvereye species complex: a phylogenomic analysis of a great speciator,University of Oxford,10.1111/mec.17830,Estandía A et al. (2025) Islands Promote Diversification of the Silvereye Species Complex: A Phylogenomic Analysis of a Great Speciator,,,
PRJNA1264660,unreviewed,whole genome resequencing of downy and hairy woodpeckers for comparative analysis,Brood Parasitic Bird Genomes Consortium,,,,,no Europe PMC full-text match
PRJNA1288365,unreviewed,Different sex determination systems in two closely related Eurasian minnow (Phoxinus) species,"Leibniz Institute for the Analysis of Biodiversity Change, Museum Koenig Bonn",10.1038/s41437-026-00827-8,Oriowo TO et al. (2026) Different sex determination systems in two closely related Eurasian minnow (Phoxinus) species,,,
PRJNA1313134,unreviewed,Genome-wide assessment of African wild dog populations,University of Johannesburg,10.1111/mec.70424,Tensen L et al. (2026) Reduced Genetic Load and Inbreeding in Reintroduced African Wild Dogs Reflect the Benefits of Admixture,,,
PRJNA1320661,unreviewed,"Geothlypis trichas (Common yellowthroat) genome, bGeoTri1, sequence data",Vertebrate Genomes Project,,,,,no Europe PMC full-text match
